FECHA_IMPORTACION_EXPORTACION,IMPORTADOR_EXPORTADOR,PAIS_DE_PROCEDENCIA_DESTINO,COD_INCISO,COD_CAPITULO,COD_PARTIDA,COD_SUBPARTIDA,CATEGORIA,DESCRIPCIÓN,PUNTO_ENTRADA_PAIS,PRECIO_UNIDAD,CANTIDAD,UNIDAD,PESO_NETO,PESO_BRUTO,VALOR_FOB,VALOR_FLETE,VALOR_SEGURO,VALOR_CIF,IMPUESTO_IMPORTACION,ITBMS,IMP_PROTECCION_PETROLEO,IMPUESTOS_ISC,TOTAL_A_PAGAR,MODO_TRANSPORTE,source_file,descripcion_oficial,CAPITULO_NOMBRE,tarifa_oficial,categoria_agricola,tipo_producto
2020-02-19 00:00:00,INDUSTRIAS PRIMA PANAMA S A,CHINA,71290200000,7,12,90,Ajos en polvo,AJO EN POLVO,"PUERTO DE BALBOA, PANAMA",0.04704,4500.0,Kg,4500.0,4680.0,6624.68,429.72,1.74,7056.14,211.68,0.0,0.0,0.0,211.68,,IMP_2020_1.xlsx,- - Ajos en polvo,"Hortalizas, plantas, raíces  y tubérculos alimenticios",10,Vegetales,- - Ajos en polvo
2020-02-18 00:00:00,HERMANOS ZAKAY S A,ESTADOS UNIDOS DE NORTEAMERICA,80251000000,8,2,51,Con cáscara,SNACK DE PISTACHIOS,"COLON CONTEINER TERMINAL (EVERGREEN ),COLON",0.0,262.0,UN,312.0,339.0,13997.2,45.08,223.53,14265.81,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Con cáscara,Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,0,Frutas y Nueces,- - Con cáscara
2020-02-17 00:00:00,CIA LEVAPAN DE PANAMA S A,CHILE,80620000000,8,6,20,"Secas, incluidad las pasas",PASAS SECAS THOMPSON MEDIANAS,"PUERTO DE BALBOA, PANAMA",0.0,2000.0,CS,20900.0,20900.0,44352.0,1248.0,443.52,46043.52,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,"- Secas, incluidas las pasas",Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,0,Frutas y Nueces,"- Secas, incluidas las pasas"
2020-02-18 00:00:00,"ECOFLORES, S.A.",COLOMBIA,60319990000,6,3,19,Los demás,ASTER,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.04258571428571428,2800.0,UN,114.06,114.06,700.0,87.95,7.0,794.95,119.24,0.0,0.0,0.0,119.24,,IMP_2020_1.xlsx,- - - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Otras Flores
2020-02-18 00:00:00,COMERCIALIZADORA DE CARNES  S A,PERU,80550100000,8,5,50,Frescos,LIMONES TAHITI (700 BOX) y LIMONES SUTIL (700 BOX),"PUERTO DE BALBOA, PANAMA",0.0,1400.0,BX,25200.0,26180.0,33600.0,2684.0,336.0,36620.0,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Frescos,Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,15,Frutas y Nueces,- - Frescos
2020-02-20 00:00:00,HERMANOS ZAKAY S A,ESTADOS UNIDOS DE NORTEAMERICA,120740900000,12,7,40,Las demás,LAS DEMÁS SEMILLAS,"COLON CONTEINER TERMINAL (EVERGREEN ),COLON",0.0,120.0,UN,49.0,59.0,508.8,3.68,9.97,522.45,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Las demás,Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; paja y forraje,0,Semillas y Plantas Agrícolas,- - Las demás
2020-02-18 00:00:00,PRODUCTOS DE PRESTIGIO S A,COLOMBIA,90210000000,9,2,10,Té verde (sin fermentar) presentado en envases inmediatos con un contenido inferior o igual a 3 kg,TE VERDE,"PUERTO DE BALBOA, PANAMA",0.0030555555555555557,2880.0,u,5.9,6.7,57.66,0.94,0.04,58.64,8.8,0.0,0.0,0.0,8.8,,IMP_2020_1.xlsx,-Té verde (sin fermentar) presentado en envases inmediatos con un contenido inferior o igual a 3 kg15,"Café, té, yerba mate y especias",0,"Café, Té, Especias",-Té verde (sin fermentar) presentado en envases inmediatos con un contenido inferior o igual a 3 kg15
2020-02-16 00:00:00,FLORES DEL ISTMO S A,COLOMBIA,81090100000,8,10,90,De clima tropical,PITAHAYA,"AEROPUERTO CARGA TOCUMEN, PANAMA",8.765,10.0,u,169.0,169.0,450.0,129.8,4.5,584.3,87.65,0.0,0.0,0.0,87.65,,IMP_2020_1.xlsx,- - De clima tropical,Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,15,Frutas y Nueces,- - De clima tropical
2020-03-04 00:00:00,RIBA SMITH S A,GUATEMALA,70810000000,7,8,10,"Guisantes (arvejas, chícharos) (Pisum sativum)",ARVEJAS,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.0,38.0,BX,194.05,194.05,905.25,307.86,9.94,1223.05,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,"- Guisantes (arvejas, chícharos)* (Pisum sativum)","Hortalizas, plantas, raíces  y tubérculos alimenticios",0,Vegetales,"- Guisantes (arvejas, chícharos)* (Pisum sativum)"
2020-03-10 00:00:00,RIBA SMITH S A,ESTADOS UNIDOS DE NORTEAMERICA,91099900000,9,10,99,Otras,ESPECIAS PARA CONDIMENTAR,"PUERTO DE MANZANILLO, COLON",1.0126666666666666,15.0,CS,70.23,70.23,120.61,31.02,0.29,151.92,15.19,0.0,0.0,0.0,15.19,,IMP_2020_1.xlsx,- - - Otras,"Café, té, yerba mate y especias",10,"Café, Té, Especias",- - - Otras
2020-03-25 00:00:00,PROSERV S A,CHILE,71040000000,7,10,40,Maíz dulce,CHOCLO,"PUERTO DE BALBOA, PANAMA",0.0,60.0,CS,699.38,699.38,1382.4,97.62,3.58,1483.6,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- Maíz dulce,"Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,- Maíz dulce
2020-03-20 00:00:00,PROSERV S A,ESTADOS UNIDOS DE NORTEAMERICA,90220000000,9,2,20,Té verde  (sin fermentar)  presentado de otra forma,TE VERDE,"PUERTO DE MANZANILLO, COLON",0.0,1.0,CS,12.5,12.5,27.1,1.86,0.07,29.03,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,,,,Otros Agrícolas,TE VERDE
2020-02-27 00:00:00,SURTITROPIK SA,COLOMBIA,70511000000,7,5,11,Repolladas,LECHUGAS CRESPA FRESCA,"AEROPUERTO CARGA TOCUMEN, PANAMA",1.6620000000000001,5.0,CS,13.9,13.9,46.2,8.76,0.46,55.42,8.31,0.0,0.0,0.0,8.31,,IMP_2020_1.xlsx,- - Repolladas,"Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,- - Repolladas
2020-04-21 00:00:00,AGENCIAS ESCOFFERY S A,BELIZE,71333300000,7,13,33,Porotos colorados,porotos colorados,"PUERTO DE MANZANILLO, COLON",9.79095,1000.0,BG,45360.0,45360.0,62890.0,2110.0,273.0,65273.0,9790.95,0.0,0.0,0.0,9790.95,,IMP_2020_1.xlsx,- - - Porotos colorados,"Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,- - - Porotos colorados
2020-02-17 00:00:00,PRICESMART PANAMA S A,ESTADOS UNIDOS DE NORTEAMERICA,90412000000,9,4,12,Triturada o pulverizada,3384- PIMIENTA NEGRA,"PUERTO DE MANZANILLO, COLON",0.0,168.0,u,80.01,80.01,502.32,7.45,0.1,509.87,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Triturada o pulverizada,"Café, té, yerba mate y especias",5,"Café, Té, Especias",- - Triturada o pulverizada
2020-02-17 00:00:00,PRICESMART PANAMA S A,ESTADOS UNIDOS DE NORTEAMERICA,120799900000,12,7,99,Las demás,833- SEMILLAS DE CHIA,"PUERTO DE MANZANILLO, COLON",0.0,168.0,u,110.02,110.02,538.08,10.24,0.11,548.43,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - - Las demás,Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; paja y forraje,5,Semillas y Plantas Agrícolas,- - - Las demás
2020-03-05 00:00:00,RIBA SMITH S A,ESTADOS UNIDOS DE NORTEAMERICA,81340000090,8,13,40,Las demás,ARANDANO DESHIDRATADO EN PAQUETES,"PUERTO DE MANZANILLO, COLON",0.0,11.0,CS,44.11,44.11,625.88,12.78,2.47,641.13,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Las demás,Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,15,Frutas y Nueces,- - Las demás
2020-03-16 00:00:00,"ECOFLORES, S.A.",COLOMBIA,60319990000,6,3,19,Los demás,SOLIDAGO,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.03791379310344827,3480.0,UN,171.35,171.35,734.4,137.83,7.34,879.57,131.94,0.0,0.0,0.0,131.94,,IMP_2020_1.xlsx,- - - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Otras Flores
2020-03-04 00:00:00,IMPORTADORA Y EXPORTADORA NIMAR  S  A,ESTADOS UNIDOS DE NORTEAMERICA,90230000000,9,2,30,"Té negro (fermentado) y té parcialmente fermentado, presentados en envases inmediatos con un contenido inferior o igual a 3 kg",TE NEGRO,"PUERTO DE MANZANILLO, COLON",0.0,924.0,CS,584.613,584.613,7876.44,371.49,78.77,8326.7,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,"-Té negro (fermentado) y té parcialmente fermentado, presentados en envases inmediatos con un","Café, té, yerba mate y especias",,"Café, Té, Especias","-Té negro (fermentado) y té parcialmente fermentado, presentados en envases inmediatos con un"
2020-02-18 00:00:00,BARUC IMPORT & EXPORT INC,PERU,80550100000,8,5,50,Frescos,LIMONES TAHITI,PSA PANAMA INTERNATIONAL TERMINAL,0.0,820.0,CS,19680.0,21562.96,18696.0,1614.18,186.96,20497.14,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Frescos,Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,15,Frutas y Nueces,- - Frescos
2020-02-27 00:00:00,FLYING GROUP  S A,CHINA,70959000000,7,9,59,Los demás,HONGOS,"COLON CONTEINER TERMINAL (EVERGREEN ),COLON",0.39641456582633056,357.0,CT,5121.86,5121.86,2200.65,607.75,22.01,2830.41,141.52,0.0,0.0,0.0,141.52,,IMP_2020_1.xlsx,- - Los demás,"Hortalizas, plantas, raíces  y tubérculos alimenticios",5,Vegetales,- - Los demás
2020-03-17 00:00:00,CERRO PUNTA S.A.,ECUADOR,60319990000,6,3,19,Los demás,SOLIDAGO,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.039785714285714285,1400.0,UN,74.45,74.45,252.0,116.82,2.52,371.34,55.7,0.0,0.0,0.0,55.7,,IMP_2020_1.xlsx,- - - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Otras Flores
2020-03-12 00:00:00,RIBA SMITH S A,ESTADOS UNIDOS DE NORTEAMERICA,81010000000,8,10,10,Fresas (frutillas)*,FRESAS,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.6958139534883722,43.0,PS,172.0,172.0,1496.85,481.6,16.2,1994.65,29.92,0.0,0.0,0.0,29.92,,IMP_2020_1.xlsx,- Fresas (frutillas)*,Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,15,Frutas y Nueces,- Fresas (frutillas)*
2020-03-18 00:00:00,FRUVERTROPIK  S A,COLOMBIA,70999900000,7,9,99,Los demás,ROMERO FRESCO (ROSEMARY),"AEROPUERTO CARGA TOCUMEN, PANAMA",0.09687979539641944,391.0,CS,44.5,44.5,222.3,28.04,2.22,252.56,37.88,0.0,0.0,0.0,37.88,,IMP_2020_1.xlsx,- - - Los demás,"Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,- - - Los demás
2020-03-18 00:00:00,"INMOBILIARIA DON ANTONIO S,A.",ESTADOS UNIDOS DE NORTEAMERICA,70820000000,7,8,20,"Frijoles (judías, porotos, alubias, fréjoles)* (Vigna spp., Phaseolus spp.)",FRIJOLES VERDES FRESCOS,"PUERTO DE MANZANILLO, COLON",1.1995,20.0,CS,81.64,90.72,607.78,39.65,0.98,648.41,23.99,0.0,0.0,0.0,23.99,,IMP_2020_1.xlsx,"- Frijoles (judías, porotos, alubias, fréjoles)* (Vigna spp., Phaseolus spp.)","Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,"- Frijoles (judías, porotos, alubias, fréjoles)* (Vigna spp., Phaseolus spp.)"
2020-03-10 00:00:00,PRODUCTOS LA DOÑA S A,EGIPTO,91099100000,9,10,99,Tomillo,TOMILLO MOLIDO LP2020012900678,"COLON CONTEINER TERMINAL (EVERGREEN ),COLON",0.19063574640684244,226.82,Kg,226.8,227.18,1425.0,13.52,2.85,1441.37,43.24,0.0,0.0,0.0,43.24,,IMP_2020_1.xlsx,- - - Tomillo,"Café, té, yerba mate y especias",10,"Café, Té, Especias",- - - Tomillo
2020-03-05 00:00:00,NESTLE PANAMA S A,REINO UNIDO,90121000000,9,1,21,Sin descafeinar,NESCAFE DLC  LATE MACHIATO,"PASO CANOAS, CHIRIQUI",4.776309523809523,168.0,CS,97.94,166.32,1346.21,138.99,0.77,1485.97,802.42,0.0,0.0,0.0,802.42,,IMP_2020_1.xlsx,- - Sin descafeinar,"Café, té, yerba mate y especias",60,"Café, Té, Especias",- - Sin descafeinar
2020-03-10 00:00:00,PRICESMART PANAMA S A,ESTADOS UNIDOS DE NORTEAMERICA,80620000000,8,6,20,"Secas, incluidad las pasas",181190 PASAS,"PUERTO DE MANZANILLO, COLON",0.0,540.0,u,673.47,673.47,2676.46,124.92,0.54,2801.92,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,"- Secas, incluidas las pasas",Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,0,Frutas y Nueces,"- Secas, incluidas las pasas"
2020-03-07 00:00:00,EL CANAL DE LAS FLORES S.A.,COSTA RICA,60420900090,6,4,20,Los demás,EUONYMUS,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.0,30.0,UN,8.31,8.31,39.41,9.92,0.39,49.72,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Follaje
2020-03-19 00:00:00,NESTLE PANAMA S A,REINO UNIDO,90121000000,9,1,21,Sin descafeinar,CAFE  MOLIDO TOSTADO ( DOLCE GUSTO / STARBUCKS),"PUERTO DE MANZANILLO, COLON",0.0,2360.0,CS,844.186,1639.224,11169.48,1643.0,15.5,12827.98,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Sin descafeinar,"Café, té, yerba mate y especias",60,"Café, Té, Especias",- - Sin descafeinar
2020-02-28 00:00:00,PRODUCTOS LA DOÑA S A,VIET NAM,90620000000,9,6,20,Triturados o pulverizados,CANELA EN POLVO LP2020012900679,"PUERTO DE BALBOA, PANAMA",0.11224333333333333,3000.0,Kg,3000.0,3018.0,10800.0,402.79,21.6,11224.39,336.73,0.0,0.0,0.0,336.73,,IMP_2020_1.xlsx,- Trituradas o pulverizadas,"Café, té, yerba mate y especias",10,"Café, Té, Especias",- Trituradas o pulverizadas
2020-03-23 00:00:00,MAFALDA S A,PERU,80610000000,8,6,10,Frescas,UVAS FRESCAS,"PUERTO DE BALBOA, PANAMA",0.0,2280.0,BX,18696.0,21000.0,22800.0,2484.0,379.26,25663.26,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- Frescas,Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,0,Frutas y Nueces,- Frescas
2020-03-24 00:00:00,MOLINO VIRZI S A,ESTADOS UNIDOS DE NORTEAMERICA,100610900000,10,6,10,Otros,ARROZ EN CASCARA,"PUERTO DE BALBOA, PANAMA",0.0,310274.0,Kg,310274.0,310274.0,94282.96,10859.59,155.14,105297.69,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Otros,Cereales,90,Cereales,- - Otros
2020-03-25 00:00:00,PRICESMART PANAMA S A,ESTADOS UNIDOS DE NORTEAMERICA,71080960000,7,10,80,Brócolis,43518-BROCOLIS,"PUERTO DE MANZANILLO, COLON",0.5942838541666667,768.0,u,1163.44,1163.44,2862.91,179.24,0.57,3042.72,456.41,0.0,0.0,0.0,456.41,,IMP_2020_1.xlsx,- - - Brócolis,"Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,- - - Brócolis
2020-03-06 00:00:00,FLORES DEL ISTMO S A,COLOMBIA,60319990000,6,3,19,Los demás,EUCALIPTO,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.03737,1000.0,u,100.0,100.0,160.0,87.51,1.6,249.11,37.37,0.0,0.0,0.0,37.37,,IMP_2020_1.xlsx,- - - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Otras Flores
